OrderID,Date,DateKey,Year,MonthNumber,MonthName,Quarter,Category,ProductKey,Product,RegionKey,Region,Units,UnitPrice,UnitCost,DiscountRate,SalesAmount,CostAmount,Profit
ORD-20230118-00054,2023-01-18,20230118,2023,1,Enero,Q1,Teléfono,10,Teléfono X,12,Oeste,1,727.98,452.55,0.0,727.98,452.55,275.43
ORD-20230104-00097,2023-01-04,20230104,2023,1,Enero,Q1,Teléfono,11,Teléfono Y,13,Sur,16,777.34,615.0,0.0,12437.44,9840.0,2597.44
ORD-20230119-00098,2023-01-19,20230119,2023,1,Enero,Q1,Cómputo,4,Laptop Mini,10,Este,4,1150.46,888.11,0.08,4233.69,3552.44,681.25
ORD-20230124-00106,2023-01-24,20230124,2023,1,Enero,Q1,Teléfono,10,Teléfono X,10,Este,5,1188.17,891.65,0.12,5227.95,4458.25,769.7
ORD-20230108-00181,2023-01-08,20230108,2023,1,Enero,Q1,Tablet,8,Tablet Plus,12,Oeste,5,710.65,489.29,0.26,2629.4,2446.45,182.95
ORD-20230121-00229,2023-01-21,20230121,2023,1,Enero,Q1,Teléfono,10,Teléfono X,10,Este,6,1138.84,870.94,0.16,5739.75,5225.64,514.11
ORD-20230107-00249,2023-01-07,20230107,2023,1,Enero,Q1,Tablet,8,Tablet Plus,10,Este,4,800.86,514.63,0.1,2883.1,2058.52,824.58
ORD-20230103-00254,2023-01-03,20230103,2023,1,Enero,Q1,Cómputo,5,Laptop Pro,12,Oeste,10,1493.98,910.86,0.04,14342.21,9108.6,5233.61
ORD-20230119-00270,2023-01-19,20230119,2023,1,Enero,Q1,Cómputo,4,Laptop Mini,13,Sur,9,1371.44,835.36,0.09,11232.09,7518.24,3713.85
ORD-20230103-00272,2023-01-03,20230103,2023,1,Enero,Q1,Cómputo,4,Laptop Mini,12,Oeste,6,1387.55,1074.7,0.27,6077.47,6448.2,-370.73
ORD-20230102-00295,2023-01-02,20230102,2023,1,Enero,Q1,Cómputo,5,Laptop Pro,12,Oeste,10,1634.84,1042.69,0.09,14877.04,10426.9,4450.14
ORD-20230117-00357,2023-01-17,20230117,2023,1,Enero,Q1,Teléfono,12,Teléfono Z,10,Este,11,874.86,599.45,0.21,7602.53,6593.95,1008.58
ORD-20230103-00372,2023-01-03,20230103,2023,1,Enero,Q1,Accesorio,2,Cargador,11,Norte,9,48.85,38.08,0.18,360.51,342.72,17.79
ORD-20230129-00396,2023-01-29,20230129,2023,1,Enero,Q1,Tablet,8,Tablet Plus,13,Sur,5,479.56,297.75,0.28,1726.42,1488.75,237.67
ORD-20230123-00415,2023-01-23,20230123,2023,1,Enero,Q1,Cómputo,4,Laptop Mini,11,Norte,8,1949.71,1347.79,0.12,13725.96,10782.32,2943.64
ORD-20230116-00420,2023-01-16,20230116,2023,1,Enero,Q1,Teléfono,12,Teléfono Z,13,Sur,10,508.74,312.0,0.21,4019.05,3120.0,899.05
ORD-20230127-00423,2023-01-27,20230127,2023,1,Enero,Q1,Cómputo,5,Laptop Pro,12,Oeste,9,1161.92,772.94,0.03,10143.56,6956.46,3187.1
ORD-20230110-00480,2023-01-10,20230110,2023,1,Enero,Q1,Accesorio,1,Audífonos,12,Oeste,6,137.17,98.46,0.11,732.49,590.76,141.73
ORD-20230130-00502,2023-01-30,20230130,2023,1,Enero,Q1,Teléfono,10,Teléfono X,11,Norte,10,803.05,622.31,0.05,7628.98,6223.1,1405.88
ORD-20230108-00505,2023-01-08,20230108,2023,1,Enero,Q1,Tablet,7,Tablet Mini,10,Este,3,618.38,405.08,0.06,1743.83,1215.24,528.59
ORD-20230129-00534,2023-01-29,20230129,2023,1,Enero,Q1,Cómputo,3,Laptop Air,10,Este,5,1443.32,1051.99,0.13,6278.44,5259.95,1018.49
